id;report_date;shift_time;staff_name;notes_for_next_shift;member_feedback;membership_cancel_requests;meaningful_conversations;tour_name;tour_followup_completed;facility_issues;busiest_areas;system_issues;management_notes;created_at;updated_at;created_by;arketa_screenshot_url;extracted_checkins;extracted_appointments;extracted_class_signups;notes_target_date;notes_target_shift;resolved;extracted_class_details;extracted_appointment_details;staff_id
02d166f0-fec6-4fc0-b81c-e838f8404050;2026-02-05;PM;Caroline;"we are now adding names to email sign offs! Any email sent should be ""Best, [Your Name] & The Team at HUME""";"[{""sentiment"":""positive"",""text"":""Heard some good shampoo feedback in womens ""}]";;;;true;Noticing the shampoo/body wash holders in the showers seem to be difficult to use so members will take the bottles out of the holders ;5-7 were busy ;;;2026-02-06 05:07:33.419867+00;2026-02-06 05:07:33.419867+00;;;;;;2026-02-06;AM;false;;;
1532b010-42c5-4592-b129-459591b7c8a6;2026-02-11;PM;Grace/Dylan;Please read the email from Jillian about Management Overview-- text her when read!;;;;;false;;;;;2026-02-12 04:37:34.81741+00;2026-02-12 04:37:34.81741+00;;;;;;2026-02-14;AM;false;;;
83b1d66f-6064-4bc6-bc86-c86704033c6d;2026-02-11;PM;Grace/Dylan;Please read the email from Jillian about Management Overview-- text her when read!;;;;;false;;;;;2026-02-12 04:37:35.445259+00;2026-02-12 04:37:35.445259+00;;;;;;2026-02-15;PM;false;;;
882d8d59-f524-4b70-8909-6b6e14eed234;2026-02-11;PM;Grace/Dylan;Please read the email from Jillian about Management Overview-- text her when read!;;;;;false;;;;;2026-02-12 04:37:34.166115+00;2026-02-13 02:47:04.095827+00;;;;;;2026-02-12;PM;true;;;
a6a1ec82-6b5b-401b-bc99-6bb9c0e2189b;2026-02-18;AM;Dennis & Dustin;Chantel Pae is coming in for OSEA treatment at 11:30am. Please give guest policy, cafe free drink card, lmnt and water. Show her where the women’s spa is and direct her to the recovery lounge couches where Nicholle will meet her at 11:30.;;;;;false;;;;;2026-02-18 21:28:02.138728+00;2026-02-18 21:28:02.138728+00;;;;;;2026-02-24;AM;false;;;
6a440f96-91c5-402c-bdd1-c8aa05f8f691;2025-11-18;AM;management;;[];;;;false;[];;[arketa] members keep having to sign a waiver to check in;;2025-12-04 01:26:55.189279+00;2025-12-04 01:40:25.648885+00;;;;;;2025-12-04;AM;true;;;
9d13f395-e204-4d7d-8aa0-c9d00ce5e80d;2025-12-03;AM;Angela, Hunter;;"[{""sentiment"":""negative"",""text"":""Berit Freutel is upset about the pause policy not aligning with her billing dates""}]";[PAUSE] Tristan Robinson - Job Relocation;;Name: Tom Creed and Hunter Norris;true;"[{""photoUrl"":null,""description"":""Lights flickering early this morn & went out at 1:25 PM\n""}]";"Roof packed 7:25am
Main Gym 8:45am
Main Gym 11:30am";;;2025-12-04 04:14:33.109168+00;2025-12-04 04:14:33.109168+00;;;;;;;;false;;;
1bd1f258-6579-4632-a5f1-1a92426e8f1c;2025-12-04;AM;Angela, Hunter;;"[{""sentiment"":""positive"",""text"":""DeAnza - Has been enjoying her membership here at HUME. Appreciates ""},{""sentiment"":""negative"",""text"":""Berit F complained about the grip on the leg press machine and the missing handle on arm machine (both already fixed/ in progress) & said: Small details, of course =>  but they matter, I think to all your members, especially in a space that prides itself on intention and high standards.""},{""sentiment"":""neutral"",""text"":""Brooklyn Kyser was a member in joined in October and then cancelled. wants to rejoin for annual rate and have her daughter join as well""}]";[CANCEL] Nicolas Spurlock - Traveling (End Date: 12/07/2025);;No Tours;false;"[{""photoUrl"":null,""description"":""Lights flicking on and off on the first floor in the hallway""}]";"Main Gym 8am
Main Gym 9:30am
Cardio 10am";[database] The new daily checklist randomly deletes. Won’t save information we put in throughout the shift;;2025-12-04 21:18:43.373329+00;2025-12-04 21:18:43.373329+00;;;;;;2025-12-04;AM;false;;;
9f001148-230f-4be2-a1cc-4eff1bc4e22f;2025-12-06;AM;Concierge;;[];;;No;false;[];;;;2025-12-06 20:17:20.400392+00;2025-12-06 20:53:28.046183+00;;;;;;2025-12-06;AM;true;;;
ea185e15-af7f-4099-89fb-7f19187ef143;2025-12-06;AM;Concierge;;"[{""sentiment"":""positive"",""text"":""Thank you to Lydia for stepping in ""}]";[CANCEL] No - No reason provided;;;true;[];"11 am main gym and womens spa
Merch event was busy!";;;2025-12-06 20:17:08.077174+00;2025-12-06 20:53:31.345724+00;;;;;;2025-12-06;AM;true;;;
c37764dd-a605-42b7-bd2f-1ba4d3a59c0a;2025-12-06;AM;Concierge Charlie/Abbey;;[];;;;true;"[{""photoUrl"":null,""description"":""Water filter in main gym floor filling station needs to be replace""}]";;;;2025-12-06 15:32:29.082664+00;2025-12-06 20:53:32.67761+00;;;;;;2025-12-06;AM;true;;;
baf5ce64-d221-4e6e-822e-318626fb20fc;2025-12-05;AM;Concierge Angela/Tommy;;"[{""sentiment"":""neutral"",""text"":""Ruffin was booked for a lymphatic massage the same time Kevin was finishing up PT. They sessions overlapped so Ruffin had to change her massages from 90 mins to 60""}]";[PAUSE] Laurel Rohera <laurel.behrens@gmail.com> - No reason provided (Pause Start: 12/10/2025, End: 01/10/2026);;Tommy toured Angela Katragadda;true;[];Women’s spa busy @ 10:30;;Can we bring a heater down from the roof for Carlos please? its so cold in the morning :(;2025-12-05 21:14:12.342763+00;2025-12-05 21:14:12.342763+00;;;;;;;;false;;;
bbffdc6c-6751-490d-af03-2471f2c2e0d8;2026-01-15;AM;Angela, Hunter;;[];;;;true;;"Main Gym 8:15am-10am 
Men's Spa 8:40am 
Rooftop 10am ";[jolt] server went down;"	-	Unable to sign into our HUME staff app to complete checklist 
-	Chris (trainer) said there is not enough room for his training session when other ppl are working out in the impact 􀁢oom. He was implying that the room should be closed off during his privates. He said he will talk to Roger";2026-01-16 17:35:46.064886+00;2026-01-16 17:48:01.380761+00;;;;;;;;true;;;
562d1bb5-8bef-4088-90b8-13ad1128909a;2026-02-06;AM;Tommy, Grace;;"[{""sentiment"":""negative"",""text"":""Staff complaint about members leaving towels all over the place in the locker room and not picking up after themselves ""},{""sentiment"":""negative"",""text"":""Tomas El Rayes - complained about a vile conversation that was happening in the mens steam room. Talking sh*t about women and also their private parts""}]";[CANCEL] Sophie Axelson - Moving (End Date: 03/06/2026);;;true;;Lots of busy classes but pretty mellow throughout the day ;;Arketa randomly changed Kevin's class time from 8 am to 9 am. Tommy last minute taught it-- thank you Tommy;2026-02-06 21:30:36.943338+00;2026-02-06 21:30:36.943338+00;;;;;;;;false;;;
16ae3fdb-be3f-46f1-9cf8-e6b573dd2962;2026-01-30;PM;Kat, Dennis;;[];;;No;true;I took of the first 4 bottles of OSEA on the display podiums because members are using it as TESTERS. As per Ben. IT is now inside one of the cabinets. ;6PM Men’s spa BUSY;;;2026-01-31 04:37:20.380398+00;2026-01-31 04:37:20.380398+00;;;;;;;;false;;;
a2e5ee1f-8654-4399-a215-2b6fd0f0e598;2026-02-11;PM;Grace/Dylan;Please read the email from Jillian about Management Overview-- text her when read!;;;;;false;;;;;2026-02-12 04:37:34.388809+00;2026-02-12 04:37:34.388809+00;;;;;;2026-02-13;AM;false;;;
092cfeaa-48e2-4164-859c-46682defc228;2026-02-11;PM;Grace/Dylan;Please read the email from Jillian about Management Overview-- text her when read!;;;;;false;;;;;2026-02-12 04:37:35.025751+00;2026-02-12 04:37:35.025751+00;;;;;;2026-02-14;PM;false;;;
3fa02f3b-0b5d-402c-88b2-ad0f3fc86d62;2026-02-11;PM;Grace/Dylan;Please read the email from Jillian about Management Overview-- text her when read!;;;;;false;;;;;2026-02-12 04:37:35.653635+00;2026-02-12 04:37:35.653635+00;;;;;;2026-02-16;AM;false;;;
04df20fd-f832-405a-ae2e-f8c7bf22cccf;2026-02-18;PM;Grace/Dylan;;"[{""sentiment"":""negative"",""text"":""A women mentioned that there is a new bright overhead light in the womens sauna and ‘all the women are complaining’. Asking if we can cut it asap.""}]";;;;true;We’re out of plastic bags for dirty clothes in the women’s spa.;Today was a mellow day. The cold kept people indoors. 5:30pm - 6:30pm. Capacity 65%;;Must get another little heater for front desk. Plezzz. Brrrr.;2026-02-19 04:55:48.94393+00;2026-02-19 04:55:48.94393+00;;;;;;;;false;;;
33fbf8f2-086f-4a8b-bc19-b92144c17b90;2025-12-06;AM;Concierge;;"[{""sentiment"":""positive"",""text"":""Solomon Hailu had asked about new impact room and suggested to get assault tread""}]";;;;true;[];;;;2025-12-06 15:58:07.96728+00;2025-12-06 18:22:18.154559+00;;;;;;2025-12-06;AM;true;;;
fc9ef81b-8950-4e1d-b561-2acf3452e2b5;2025-12-06;PM;Grace/Hunter;;"[{""sentiment"":""negative"",""text"":""Robyn Nissim - 3 pieces of feedback. 1. “It’s fucked up that you guys are closing for 5 days” (to be fair, it wasn’t like an aggressive statement but she was clearly a little frustrated) 2. “We should all be prorated, I overheard members talking about it in the locker room”. 3. “Steam room light is out and it wasn’t giving enough steam today”.""}]";;;;true;;;;;2025-12-07 14:53:59.474455+00;2025-12-07 14:53:59.474455+00;;;;;;2025-12-06;AM;false;;;
7d7a914e-ba96-4b4e-a64a-c2b731f8d0dc;2025-12-07;AM;Lydia/Hunter;Rogers guest today Fern will need to sign liability waiver;"[{""sentiment"":""neutral"",""text"":""Member would like to know if it would be possible to get some of those clamps for forearm strengthening? Older gentleman ""}]";[PAUSE] Renee Ridgeley - Travel (Pause Start: 12/08/2025, End: 01/06/2026);;;true;"Women’s steam room has been operating funky, can either do max setting which is too much or minimum which is not enough.
WiFi slowwwwwwww, messing with Kelseys music for class in cave";"9 am cardio full
11 am rooftop full
";;;2025-12-07 20:47:53.0083+00;2025-12-07 20:47:53.0083+00;;;;;;2025-12-08;AM;false;;;
8f8b9d8c-9e19-4753-a60c-27da60aa70aa;2025-12-08;AM;Concierge;;[];;;;true;;;;;2025-12-08 21:28:59.990031+00;2025-12-08 21:28:59.990031+00;;;;;;2025-12-08;AM;false;;;
